id,clave,nombre
1,01,AGUASCALIENTES
2,02,BAJA CALIFORNIA
3,03,BAJA CALIFORNIA SUR
4,04,CAMPECHE
5,05,COAHUILA DE ZARAGOZA
6,06,COLIMA
7,07,CHIAPAS
8,08,CHIHUAHUA
9,09,DISTRITO FEDERAL
10,10,DURANGO
11,11,GUANAJUATO
12,12,GUERRERO
13,13,HIDALGO
14,14,JALISCO
15,15,MÉXICO
16,16,MICHOACÁN DE OCAMPO
17,17,MORELOS
18,18,NAYARIT
19,19,NUEVO LEÓN
20,20,OAXACA
21,21,PUEBLA
22,22,QUERÉTARO
23,23,QUINTANA ROO
24,24,SAN LUIS POTOSÍ
25,25,SINALOA
26,26,SONORA
27,27,TABASCO
28,28,TAMAULIPAS
29,29,TLAXCALA
30,30,VERACRUZ DE IGNACIO DE LA LLAVE
31,31,YUCATÁN
32,32,ZACATECAS